element,sp_num,ritz_wl_vac(A),Aki(s^-1),fik,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
C,2,"=""2968.961""","=""1.06e+07""","=""7.01e-03""",B,"=""23.116074""","=""27.292087""","=""2s.2p.(3P*).3p""","=""4P""","=""3/2""","=""2s.2p.(3P*).4d""","=""4D*""","=""1/2""",,
C,2,"=""2969.704""","=""1.90e+07""","=""2.51e-02""",B,"=""23.118841""","=""27.293810""","=""2s.2p.(3P*).3p""","=""4P""","=""5/2""","=""2s.2p.(3P*).4d""","=""4D*""","=""5/2""",,
C,2,"=""2970.459""","=""3.17e+06""","=""2.80e-03""",B,"=""23.118841""","=""27.292748""","=""2s.2p.(3P*).3p""","=""4P""","=""5/2""","=""2s.2p.(3P*).4d""","=""4D*""","=""3/2""",,
C,2,"=""2974.970""","=""4.0e+04""","=""5.2e-05""",D+,"=""18.654858""","=""22.822436""","=""2p3""","=""2D*""","=""5/2""","=""2s2.6d""","=""2D""","=""5/2""",,
C,2,"=""2975.031""","=""3.6e+03""","=""3.2e-06""",C,"=""18.654858""","=""22.822350""","=""2p3""","=""2D*""","=""5/2""","=""2s2.6d""","=""2D""","=""3/2""",,
C,2,"=""2975.424""","=""2.8e+03""","=""5.6e-06""",C,"=""18.655493""","=""22.822436""","=""2p3""","=""2D*""","=""3/2""","=""2s2.6d""","=""2D""","=""5/2""",,
C,2,"=""2975.485""","=""4.0e+04""","=""5.3e-05""",D+,"=""18.655493""","=""22.822350""","=""2p3""","=""2D*""","=""3/2""","=""2s2.6d""","=""2D""","=""3/2""",,
C,3,"=""2982.986""","=""1.52e+07""","=""1.22e-02""",B,"=""34.279506""","=""38.435885""","=""1s2.2s.3d""","=""1D""","=""2""","=""1s2.2p.(2P*).3s""","=""1P*""","=""1""",,
C,2,"=""2993.373""","=""7.73e+07""","=""1.56e-01""",B,"=""18.045807""","=""22.187763""","=""2s2.3d""","=""2D""","=""3/2""","=""2s2.5f""","=""2F*""","=""5/2""",,
C,2,"=""2993.496""","=""8.28e+07""","=""1.48e-01""",B,"=""18.045987""","=""22.187773""","=""2s2.3d""","=""2D""","=""5/2""","=""2s2.5f""","=""2F*""","=""7/2""",,
C,2,"=""2993.503""","=""5.3e+06""","=""7.1e-03""",C,"=""18.045987""","=""22.187763""","=""2s2.3d""","=""2D""","=""5/2""","=""2s2.5f""","=""2F*""","=""5/2""",,
C,5,"=""3018.33""","=""7.472e+07""","=""1.705e-01""",AA,"=""(382.66757)""","=""(386.7753)""","=""1s.6p""","=""1P*""","=""1""","=""1s.8d""","=""1D""","=""2""",,
C,3,"=""3039.773""","=""1.99e+07""","=""1.65e-02""",B,"=""40.197226""","=""44.275957""","=""1s2.2s.4d""","=""1D""","=""2""","=""1s2.2s.6p""","=""1P*""","=""1""",,
C,2,"=""3040.599""","=""2.5e+07""","=""4.7e-02""",C,"=""23.385281""","=""27.462905""","=""2s.2p.(3P*).3p""","=""2D""","=""5/2""","=""2s.2p.(3P*).4d""","=""2F*""","=""7/2""",,
C,2,"=""3041.397""","=""2.4e+07""","=""4.9e-02""",C,"=""23.381096""","=""27.457651""","=""2s.2p.(3P*).3p""","=""2D""","=""3/2""","=""2s.2p.(3P*).4d""","=""2F*""","=""5/2""",,
